
					Here is a list of 1000 Randomly Generated Numbers Between 101 and 899 (Inclusively):

539	830	645	287	259	767	403	762	239	823	
331	263	890	153	201	878	378	426	776	461	
298	217	587	539	627	536	399	891	390	419	
431	821	450	772	207	923	379	563	456	630	
874	854	145	672	520	226	590	166	670	464	
365	197	354	349	715	344	835	102	642	986	
612	887	131	463	781	864	891	671	664	700	
301	611	488	999	733	369	524	873	601	425	
894	193	238	127	103	135	480	643	387	805	
500	970	422	876	216	316	153	350	165	312	
449	264	755	566	187	965	101	758	610	148	
380	636	242	377	935	357	540	285	453	412	
937	755	536	337	898	758	478	658	804	398	
827	267	591	785	749	693	688	768	376	547	
124	831	487	394	713	790	817	815	587	536	
134	849	875	296	936	336	238	918	759	710	
405	504	493	467	282	701	844	810	346	860	
705	785	924	823	724	122	142	740	259	353	
198	142	646	796	720	485	118	510	275	271	
507	798	551	783	717	480	325	890	930	850	
635	517	171	542	910	548	405	766	385	561	
874	339	534	888	334	601	205	614	217	850	
365	262	702	192	660	979	659	194	757	447	
816	185	755	441	271	417	492	763	470	596	
125	804	396	482	101	884	875	142	694	685	
698	859	179	551	850	567	973	963	223	218	
936	591	139	905	732	249	733	521	617	749	
384	917	263	750	185	400	817	862	269	624	
472	645	652	172	726	225	685	837	669	326	
828	798	350	574	563	228	613	894	507	602	
341	298	244	452	731	208	416	254	729	485	
341	174	356	746	593	944	229	407	853	839	
928	984	418	390	506	159	166	699	281	756	
772	635	466	247	969	241	492	508	304	609	
310	331	634	946	781	286	661	657	948	434	
744	835	382	488	560	188	838	646	763	975	
628	726	536	508	399	143	198	762	322	901	
579	775	159	314	425	529	308	172	619	120	
559	871	654	307	965	196	154	805	104	159	
398	458	585	333	814	244	484	667	301	810	
929	674	694	376	291	765	708	316	126	536	
261	863	460	407	215	464	852	109	917	877	
696	339	317	955	496	223	762	587	389	718	
866	911	743	227	944	162	264	546	415	236	
452	646	489	147	788	259	187	745	438	937	
101	168	914	459	917	115	541	175	959	709	
902	329	410	312	821	895	930	705	443	733	
690	649	219	886	255	853	193	266	347	610	
634	729	874	867	400	118	309	604	921	681	
307	998	240	444	783	486	352	632	782	914	
424	842	704	231	490	370	116	785	647	188	
798	443	793	354	324	986	410	635	927	210	
956	376	432	180	443	450	246	234	430	617	
565	106	831	805	760	289	952	134	164	579	
161	922	568	156	378	404	283	470	131	960	
629	746	702	902	385	800	576	642	394	671	
592	762	961	339	713	883	581	848	323	442	
114	290	562	185	221	183	982	695	189	571	
270	958	602	766	234	334	142	824	329	655	
939	152	396	789	971	887	642	854	216	567	
935	874	206	600	304	609	328	979	529	271	
812	788	859	230	562	828	544	473	207	151	
423	136	434	244	721	456	933	351	512	331	
933	418	553	951	397	219	758	161	298	640	
561	906	255	530	664	195	541	524	666	546	
303	792	496	858	136	249	576	947	804	256	
347	148	138	815	466	506	984	776	637	733	
357	974	746	185	830	334	564	301	403	369	
548	894	584	402	316	337	541	388	291	967	
171	552	391	259	553	576	183	795	183	130	
269	543	963	709	279	628	384	468	574	416	
331	811	159	500	429	546	366	190	269	910	
621	648	536	115	525	357	320	163	447	818	
826	363	697	428	197	711	979	878	794	615	
125	241	336	211	610	764	637	318	767	969	
461	287	451	337	734	249	133	239	824	150	
713	375	378	682	308	655	464	162	188	604	
550	193	575	298	257	864	917	200	735	344	
463	857	784	117	883	325	529	279	749	748	
356	146	276	110	334	119	901	109	488	875	
977	406	869	236	715	627	657	187	337	367	
772	261	915	161	730	224	751	312	793	255	
714	942	540	774	246	477	603	131	809	206	
531	189	139	789	705	614	547	203	716	615	
441	839	332	337	116	595	114	456	116	435	
539	854	701	700	626	297	361	572	625	604	
384	394	771	956	196	806	928	207	111	619	
246	421	929	910	514	975	283	918	780	281	
947	238	203	777	704	633	587	285	778	200	
369	438	603	228	807	967	586	624	327	236	
165	201	688	694	530	806	241	693	254	713	
400	403	961	513	342	348	849	377	722	847	
596	505	322	870	370	801	877	334	183	133	
822	438	293	297	297	654	688	880	268	932	
799	471	562	247	590	560	238	518	987	389	
256	813	817	644	692	757	610	835	235	584	
978	649	764	373	704	968	167	539	485	305	
969	662	703	834	481	252	285	611	594	667	
382	149	937	835	488	302	228	980	983	461	
257	884	890	423	423	635	434	621	500	517	



Sum:                 533094
Average:                533
Standard Deviation: 23.0868
